SG,TBP,MW,Goos_Mw,Fit_Mw,Goos_Resid,Fit_Resid
0.631,306,76,76.93791136542198,75.18438608954092,0.9379113654219822,-0.8156139104590778
0.7135,372,99,100.99456697556846,99.8716313914008,1.9945669755684605,0.8716313914007969
0.7205,365,96,96.15105723797956,95.07884432588122,0.1510572379795576,-0.9211556741187792
0.7293,373,100,99.33869841443828,98.33400001355575,-0.6613015855617164,-1.6659999864442483
0.6786,329,82,82.64926104612158,81.26900758286679,0.6492610461215804,-0.7309924171332085
0.7092,356,92,92.80460767586877,91.6467163567372,0.8046076758687661,-0.3532836432627988
0.6825,332,83,83.69183786634461,82.33945246111706,0.6918378663446134,-0.6605475388829376
0.7264,373,99,99.738821416696,98.71303619375908,0.7388214166959983,-0.28696380624091944
0.7205,365,96,96.15105723797956,95.07884432588122,0.1510572379795576,-0.9211556741187792
0.6825,332,83,83.69183786634461,82.33945246111706,0.6918378663446134,-0.6605475388829376
0.6885,338,85,86.01832139752943,84.7075727842243,1.0183213975294336,-0.2924272157757031
0.6913,346,88,89.83975100070424,88.5443923454175,1.83975100070424,0.5443923454175064
0.6968,346,89,89.12403552510742,87.87315684463209,0.12403552510741633,-1.126843155367908
0.7415,385,105,104.35026845903886,103.44084121057588,-0.6497315409611417,-1.5591587894241172
0.712,363,97,96.21285050620341,95.07616499152611,-0.7871494937965906,-1.9238350084738869
0.8199,492,161,160.4478873064333,160.17990618269116,-0.5521126935666985,-0.8200938173088446
0.8155,488,160,158.37999639874315,158.08270974350873,-1.6200036012568546,-1.9172902564912704
0.8323,550,204,204.42404300744982,204.25519448700615,0.4240430074498249,0.25519448700615044
0.8487,602,244,249.48880752283162,249.36610065182344,5.488807522831621,5.366100651823444
0.8332,539,192,194.71107470168346,194.54799177992172,2.711074701683458,2.547991779921716
0.8563,594,242,239.2072550932329,239.13727370670142,-2.7927449067670977,-2.8627262932985786
0.8569,575,221,220.79351542720124,220.74520741315436,-0.20648457279875743,-0.2547925868456389
0.8577,601,242,245.8343160898364,245.76303324629896,3.834316089836392,3.76303324629896
0.8624,632,277,277.53146430076504,277.43870919642666,0.5314643007650375,0.4387091964266574
0.8576,592,229,236.8667023293268,236.8060540043164,7.866702329326813,7.806054004316394
0.8646,589,231,232.0210734999581,232.00036101683477,1.0210734999581064,1.0003610168347734
0.8642,641,288,287.2181646169912,287.1209999654375,-0.7818353830087972,-0.8790000345625231
0.8663,644,291,290.0053249184747,289.9153973610683,-0.9946750815253154,-1.084602638931699
0.879,619,264,258.227352782246,258.2433689180273,-5.772647217754013,-5.756631081972728
0.8767,635,277,276.3090721565048,276.2900472250282,-0.6909278434952171,-0.7099527749717822
0.8846,638,279,277.16678671205784,277.18473062519695,-1.8332132879421579,-1.8152693748030515
0.8697,669,326,319.3393160428477,319.23602417163374,-6.660683957152287,-6.763975828366256
0.8447,704,388,378.02263518478134,377.7515443538414,-9.977364815218664,-10.248455646158618
0.9714,890,720,712.2599561277947,717.689821478787,-7.7400438722053195,-2.310178521212947
0.9605,854,617,612.615533521187,615.9065665959035,-4.38446647881301,-1.0934334040964586
1.0174,898,726,705.9775937211889,711.9407754908905,-20.022406278811104,-14.059224509109526
1.0803,990,1106,1121.348284011188,1119.2243115781978,15.34828401118807,13.224311578197785
1.0604,973,1020,1017.6430259414992,1022.8425982502168,-2.356974058500782,2.842598250216838
0.7344,447,142,144.92568357821023,144.04455674548754,2.9256835782102257,2.04455674548754
0.7924,617,282,284.3461879428102,283.82460902811687,2.346187942810218,1.8246090281168676
0.8133,723,423,423.5062538488012,423.0278114126686,0.5062538488011796,0.027811412668597768
0.824,798,563,564.7954334955834,565.2820842842092,1.7954334955834383,2.2820842842091906
0.8349,894,844,845.3240811696503,850.6511055176587,1.3240811696502988,6.651105517658721
0.8438,988,1405,1417.5384451941193,1413.6443911835468,12.538445194119276,8.644391183546759
0.846,1012,1685,1710.33785788734,1669.3183282797675,25.33785788734008,-15.681671720232544
0.7509,322,70,71.46293454081321,70.62397828129308,1.4629345408132082,0.623978281293077
0.7742,374,98,94.05051821766986,93.3443580449804,-3.949481782330139,-4.655641955019604
0.8262,601,253,255.28043775692748,255.02472330969988,2.2804377569274834,2.02472330969988
0.8355,696,365,370.2627078620602,369.9208755463408,5.262707862060211,4.920875546340824
0.8684,481,152,143.9178173570165,143.8724342473105,-8.082182642983497,-8.127565752689492
0.8719,384,92,88.14755409029564,87.94133756917617,-3.8524459097043575,-4.05866243082383
0.8643,457,134,129.0878880032728,128.98221296056022,-4.912111996727191,-5.017787039439781
0.8594,732,415,415.2031999785074,415.11278014799063,0.20319997850742766,0.11278014799063385
0.8589,804,555,555.168308768866,556.0732517064054,0.16830876886604074,1.0732517064053582
0.8583,895,836,825.9928400164408,831.4973641148962,-10.007159983559177,-4.502635885103814
0.993,598,214,209.50659063790084,209.95092558463426,-4.4934093620991575,-4.049074415365737
0.9274,519,160,160.08562060737776,160.31797416830074,0.08562060737776278,0.31797416830073644
0.9894,554,182,174.72959656117462,175.1582880940695,-7.270403438825383,-6.841711905930509
1.0095,514,142,143.74490271860986,144.16540596728214,1.7449027186098647,2.1654059672821404
0.9808,579,198,195.9854175426905,196.40347943081113,-2.0145824573095013,-1.5965205691888684
0.9146,733,381,391.52045451264445,391.76943316493373,10.520454512644449,10.76943316493373
1.088,667,234,252.85681624326935,253.40444234379052,18.85681624326935,19.40444234379052
0.9849,626,246,236.94272524642147,237.35677502413924,-9.057274753578525,-8.643224975860761
0.7773,560,226,228.59422407577975,228.0675443217305,2.5942240757797492,2.0675443217305087
0.7849,558,224,224.43859344177213,223.96795894870093,0.43859344177212733,-0.03204105129907475
0.7054,367,95,99.34298298582594,98.15550840731247,4.342982985825941,3.1555084073124675
0.6315,309,72,78.38268008964513,76.62328860523762,6.382680089645135,4.623288605237619
0.8842,353,78,73.0247849118622,72.83542061080718,-4.9752150881378014,-5.1645793891928236
1.1762,612,178,187.1828776019173,187.49624743716754,9.182877601917312,9.49624743716754
1.3793,798,300,336.3486989688919,301.7885832671771,36.34869896889188,1.7885832671771027
